title,authors,journal_name,publication_date,link,abstract
MEP pathway-mediated isopentenol production in metabolically engineered Escherichia coli,"Liu, H., et al.",Microb Cell Fact,2014.0,https://doi.org/10.1186/s12934-014-0135-y,"BACKGROUND: Isopentenols, such as prenol and isoprenol, are promising advanced biofuels because of their higher energy densities and better combustion efficiencies compared with ethanol. Microbial production of isopentenols has been developed recently via metabolically engineered E. coli. However, current yields remain low and the underlying pathways require systematic optimization. RESULTS: In this study, we targeted the E. coli native 2-methyl-(D)-erythritol-4-phosphate (MEP) pathway and its upstream glycolysis pathway for the optimization of isopentenol production. Two codon optimized genes, nudF and yhfR from Bacillus subtilis, were synthesized and expressed in E. coli W3110 to confer the isopentenol production of the strain. Two key enzymes (IspG and Dxs) were then overexpressed to optimize the E. coli native MEP pathway, which led to a significant increase (3.3-fold) in isopentenol production. Subsequently, the glycolysis pathway was tuned to enhance the precursor and NADPH supplies for the MEP pathway by activating the pentose phosphate pathway (PPP) and Entner-Doudoroff pathway (ED), which resulted in additional 1.9 folds of increase in isopentenol production. A 5 L-scale batch cultivation experiment was finally implemented, showing a total of 61.9 mg L(-1) isopentenol production from 20 g L(-1) of glucose. CONCLUSION: The isopentenol production was successfully increased through multi-step optimization of the MEP and its upstream glycolysis pathways. It demonstrated that the total fluxes and their balance of the precursors of the MEP pathway are of critical importance in isopentenol production. In the future, an elucidation of the contribution of PPP and ED to MEP is needed for further optimization of isopentenol production."
Metabolic engineering of Escherichia coli for efficient production of L-5-hydroxytryptophan from glucose,"Zhang, Z., et al.",Microb Cell Fact,2022.0,https://doi.org/10.1186/s12934-022-01920-3,"BACKGROUND: 5-hydroxytryptophan (5-HTP), the direct biosynthetic precursor of the neurotransmitter 5-hydroxytryptamine, has been shown to have unique efficacy in the treatment of a variety of disorders, including depression, insomnia, and chronic headaches, and is one of the most commercially valuable amino acid derivatives. However, microbial fermentation for 5-HTP production continues to face many challenges, including low titer/yield and the presence of the intermediate L-tryptophan (L-Trp), owing to the complexity and low activity of heterologous expression in prokaryotes. Therefore, there is a need to construct an efficient microbial cell factory for 5-HTP production. RESULTS: We describe the systematic modular engineering of wild-type Escherichia coli for the efficient fermentation of 5-HTP from glucose. First, a xylose-induced T7 RNA polymerase-P(T7) promoter system was constructed to ensure the efficient expression of each key heterologous pathway in E. coli. Next, a new tryptophan hydroxylase mutant was used to construct an efficient tryptophan hydroxylation module, and the cofactor tetrahydrobiopterin synthesis and regeneration pathway was expressed in combination. The L-Trp synthesis module was constructed by modifying the key metabolic nodes of tryptophan biosynthesis, and the heterologous synthesis of 5-HTP was achieved. Finally, the NAD(P)H regeneration module was constructed by the moderate expression of the heterologous GDH(esi) pathway, which successfully reduced the surplus of the intermediate L-Trp. The final engineered strain HTP11 was able to produce 8.58 g/L 5-HTP in a 5-L bioreactor with a yield of 0.095 g/g glucose and a maximum real-time productivity of 0.48 g/L/h, the highest values reported by microbial fermentation. CONCLUSION: In this study, we demonstrate the successful design of a cell factory for high-level 5-HTP production, combined with simple processes that have potential for use in industrial applications in the future. Thus, this study provides a reference for the production of high-value amino acid derivatives using a systematic modular engineering strategy and a basis for an efficient engineered strain development of 5-HTP high-value derivatives."
Microaeration enhances productivity of bioethanol from hydrolysate of waste house wood using ethanologenic Escherichia coli KO11,"Okuda, N., et al.",J Biosci Bioeng,2007.0,https://doi.org/10.1263/jbb.103.350,"This is the first study showing the successful application of waste house wood (WHW) to the pilot-scale production of bioethanol by hydrolysis using diluted acid and fermentation using the ethanologenic recombinant Escherichia coli KO11. The major sugars in the WHW hydrolysate were glucose, mannose and xylose the percentages were approximately 35%, 35% and 20% (w/w), respectively. In anaerobic fermentation using a 5-l reactor in which the oxygen transfer rate (OTR) was 0 mmol/(l x h), KO11 consumed only 25% of the xylose in the WHW hydrolysate over the examined fermentation time of 100 h however, hexoses such as glucose and mannose were consumed completely. Microaeration at an OTR of 4 mmol/(l x h) enhanced the xylose utilization ratio of KO11 to 100%, at which the ethanol concentration was 35.4 g/l and the ethanol yield was 0.42, although the maximum ethanol concentrations were 28.8 and 26.6 g/l at OTRs of 0 mmol/(l x h) and 15 mmol/(l x h), respectively. Moreover, this microaerobic fermentation at OTR of 4 mmol/(l x h) was applied to 1000-l scale bioethanol production using the WHW hydrolysate. The xylose utilization ratio reached 100% and the ethanol yield was determined to be 0.45 for a 63-h fermentation, which were comparable to those obtained from the laboratory-scale fermentation."
Heterologous gshF gene expression in various vector systems in Escherichia coli for enhanced glutathione production,"Wang, C., et al.",J Biotechnol,2015.0,https://doi.org/10.1016/j.jbiotec.2015.09.004,"Glutathione (GSH), an important bioactive product, is widely used in production of pharmaceuticals and foods. In this study, four different vector systems, pET28a, pUC18, pUC19-P32, and pUC19-Pabb, were applied for expression of gshF, encoding the bifunctional glutathione synthetase of Streptococcus thermophiles. These four constructs were named as pET28a-gshF, pUC18-gshF, pUC19-P32-gshF and pUC19-Pabb-gshF, respectively, and then introduced into Escherichia coli strain BL21(DE3) for further investigation of protein expression and GSH production. The expression levels of the GshF in BL21(pUC19-P32-gshF) and BL21(pUC19-Pabb-gshF) were much lower than those of BL21(pET28a-gshF) and BL21(pUC18-gshF). In the fed-batch fermentation, the GSH accumulated by BL21(pUC18-gshF) reached 15.21 g/L, which was the highest level of GSH biosynthesis ever reported. Although BL21(pUC19-Pabb-gshF) produced less GSH compared to BL21(pUC18-gshF), the final GSH concentration produced by BL21 (pUC19-Pabb-gshF) still accumulated to 5.09 g/L, which indicated the potential application of the constitutive promoter in GSH production."
Microdiesel: Escherichia coli engineered for fuel production,"Kalscheuer, R., et al.",Microbiology (Reading),2006.0,https://doi.org/10.1099/mic.0.29028-0,"Biodiesel is an alternative energy source and a substitute for petroleum-based diesel fuel. It is produced from renewable biomass by transesterification of triacylglycerols from plant oils, yielding monoalkyl esters of long-chain fatty acids with short-chain alcohols such as fatty acid methyl esters and fatty acid ethyl esters (FAEEs). Despite numerous environmental benefits, a broader use of biodiesel is hampered by the extensive acreage required for sufficient production of oilseed crops. Therefore, processes are urgently needed to enable biodiesel production from more readily available bulk plant materials like sugars or cellulose. Toward this goal, the authors established biosynthesis of biodiesel-adequate FAEEs, referred to as Microdiesel, in metabolically engineered Escherichia coli. This was achieved by heterologous expression in E. coli of the Zymomonas mobilis pyruvate decarboxylase and alcohol dehydrogenase and the unspecific acyltransferase from Acinetobacter baylyi strain ADP1. By this approach, ethanol formation was combined with subsequent esterification of the ethanol with the acyl moieties of coenzyme A thioesters of fatty acids if the cells were cultivated under aerobic conditions in the presence of glucose and oleic acid. Ethyl oleate was the major constituent of these FAEEs, with minor amounts of ethyl palmitate and ethyl palmitoleate. FAEE concentrations of 1.28 g l(-1) and a FAEE content of the cells of 26 % of the cellular dry mass were achieved by fed-batch fermentation using renewable carbon sources. This novel approach might pave the way for industrial production of biodiesel equivalents from renewable resources by employing engineered micro-organisms, enabling a broader use of biodiesel-like fuels in the future."
A High-Efficiency Artificial Synthetic Pathway for 5-Aminovalerate Production From Biobased L-Lysine in Escherichia coli,"Cheng, J., et al.",Front Bioeng Biotechnol,2021.0,https://doi.org/10.3389/fbioe.2021.633028,"Bioproduction of 5-aminovalerate (5AVA) from renewable feedstock can support a sustainable biorefinery process to produce bioplastics, such as nylon 5 and nylon 56. In order to achieve the biobased production of 5AVA, a 2-keto-6-aminocaproate-mediated synthetic pathway was established. Combination of L-Lysine alpha-oxidase from Scomber japonicus, alpha-ketoacid decarboxylase from Lactococcus lactis and aldehyde dehydrogenase from Escherichia coli could achieve the biosynthesis of 5AVA from biobased L-Lysine in E. coli. The H(2)O(2) produced by L-Lysine alpha-oxidase was decomposed by the expression of catalase KatE. Finally, 52.24 g/L of 5AVA were obtained through fed-batch biotransformation. Moreover, homology modeling, molecular docking and molecular dynamic simulation analyses were used to identify mutation sites and propose a possible trait-improvement strategy: the expanded catalytic channel of mutant and more hydrogen bonds formed might be beneficial for the substrates stretch. In summary, we have developed a promising artificial pathway for efficient 5AVA synthesis."
Enhanced production of plasmid DNA by engineered Escherichia coli strains,"Pablos, T. E., et al.",J Biotechnol,2012.0,https://doi.org/10.1016/j.jbiotec.2011.04.015,"Escherichia coli strains VH33 (PTS(-) GalP(+) strain displaying a strongly reduced overflow metabolism) and VH34 (additionally lacking the pyruvate kinase A) were evaluated for the production of a plasmid DNA (pDNA) vaccine. The parent (W3110) and mutant strains were cultured using 10 g of glucose/L. While the specific growth rates of the three strains were similar, they presented differences in the accumulation of acetate. W3110 accumulated up to 4 g/L of acetate, VH33 produced 1.4 g/L, and VH34 only 0.78 g/L. VH33 and VH34 produced 76% and 300% more pDNA than W3110. Moreover, VH34 demanded 33% less oxygen than VH33 and W3110, which can be advantageous for large-scale applications."
Biosynthesis of D-glucaric acid from sucrose with routed carbon distribution in metabolically engineered Escherichia coli,"Qu, Y. N., et al.",Metab Eng,2018.0,https://doi.org/10.1016/j.ymben.2018.04.020,"D-glucaric acid is a promising platform compound used to synthesize many other value-added or commodity chemicals. The engineering of Escherichia coli for efficiently converting D-glucose to D-glucaric acid has been attempted for several years, with mixed sugar fermentation recently gaining growing interests due to the increased D-glucaric acid yield. Here, we co-expressed cscB, cscA, cscK, ino1, miox, udh, and suhB in E. coli BL21 (DE3), functionally constructing an unreported route from sucrose to D-glucaric acid. Further deletion of chromosomal zwf, pgi, ptsG, uxaC, gudD, over-expression of glk, and use of a D-fructose-dependent translation control system for pgi enabled the strain to use sucrose as the sole carbon source while achieving a high product titer and yield. The titer of D-glucaric acid in M9 medium containing 10â¯g/L sucrose reached ~1.42â¯g/L, with a yield of ~0.142â¯g/g on sucrose."
"Overexpression, overproduction, purification, and characterization of rhGH in Escherichia coli","Keshavarz, R., et al.",Biotechnol Appl Biochem,2021.0,https://doi.org/10.1002/bab.1902,"Overexpression of insoluble human growth hormone (hGH) in cytoplasm was achieved by E. coli Rosetta-gami B(DE3) [pET21a (+)-hGH]). For overexpression of hGH, effects of eight factors including temperature, type and concentration of carbon source, IPTG and MgSO(4) , buffering capacity, induction time, yeast extract/peptone ratio on rhGH production were studied by Plackett-Burman screening. Maximum production of rhGH was 0.681 g/L, and results of statistical analysis showed that induction temperature and glucose have the greatest effect and the presence of MgSO(4) increases rhGH expression and reduces biomass concentration. So, the effect of ethanol and MgSO(4) concentrations on the rhGH production was examined according to the central composite experimental design. The ANOVA of the results showed rhGH production increases to 1.128 g/L in 4 g/L MgSO(4) and 1% ethanol. Then, the impact of glucose concentration and induction time on the rhGH production was evaluated in two levels in the fermenter by Taguchi statistical method. Under optimum conditions, OD(600nm) 4 and 10 g/L glucose crude rhGH concentration 4.17 g/L was obtained, which is one of the highest value ever reported. Finally, rhGH was purified using the biophysical and biochemical techniques comprising circular dichroism, fluorescent spectroscopy, and dynamic light scattering, and it was confirmed that the produced protein is comparable to the commercial standard sample."
Elimination of Residual Lacto-N-triose II for Lacto-N-tetraose Biosynthesis in Engineered Escherichia coli,"Yang, L., et al.",J Agric Food Chem,2023.0,https://doi.org/10.1021/acs.jafc.3c03644,"Lacto-N-tetraose (LNT) is an important neutral human milk oligosaccharide (HMO) and acts as a significant core structure for complex HMO biosynthesis. We previously achieved high-yield LNT biosynthesis (57.5 g/L) using fed-batch fermentation however, residual lacto-N-triose II (LNTri II) was also found (21.58 g/L). Here, we re-engineered an efficient LNT-producing Escherichia coli with low LNTri II accumulation using genetically stable LNTri II-producing strains with a genomic insertion of lgtA (encoding beta1,3-N-acetylglucosaminyltransferase). Comparable and low titers of LNT (3.73-4.61 g/L) and LNTri II (0.33-0.63 g/L), respectively, were obtained by introducing beta1,3-galactosyltransferase. To reduce residual LNTri II, the E. coli transporter gene setA was disrupted, obviously reducing the accumulation of LNTri II and LNT. Next, the gene encoding beta-N-acetylhexosaminidase (BbhI) was introduced into LNT-producing strains or E. coli BL21(DE3) for single- or mixed-strain cultivation, respectively. Finally, LNT was obtained (30.13 g/L) in a cocultivation system of mixed engineered strains without undesired LNTri II."
Synthetic redesign of Escherichia coli for cadaverine production from galactose,"Kwak, D. H., et al.",Biotechnol Biofuels,2017.0,https://doi.org/10.1186/s13068-017-0707-2,"BACKGROUND: With increasing concerns over the environment, biological production of cadaverine has been suggested as an alternative route to replace polyamides generated from the petroleum-based process. For an ideal bioprocess, cadaverine should be produced with high yield and productivity from various sugars abundant in biomass. However, most microorganisms are not able to efficiently metabolize other biomass-derived sugars as fast as glucose. This results in reduced growth rate and low carbon flux toward the production of desired bio-chemicals. Thus, redesign of microorganisms is necessary for utilizing those carbon sources with enhanced carbon flux and product formation. RESULTS: In this study, we engineered Escherichia coli to produce cadaverine with rapid assimilation of galactose, a promising future feedstock. To achieve this, genes related to the metabolic pathway were maximally expressed to amplify the flux toward cadaverine production via synthetic expression cassettes consisting of predictive and quantitative genetic parts (promoters, 5'-untranslated regions, and terminators). Furthermore, the feedback inhibition of metabolic enzymes and degradation/re-uptake pathways was inactivated to robustly produce cadaverine. Finally, the resultant strain, DHK4, produced 8.80 g/L cadaverine with high yield (0.170 g/g) and productivity (0.293 g/L/h) during fed-batch fermentation, which was similar to or better than the previous glucose fermentation. CONCLUSIONS: Taken together, synthetic redesign of a microorganism with predictive and quantitative genetic parts is a prerequisite for converting sugars from abundant biomass into desired platform chemicals. This is the first report to produce cadaverine from galactose. Moreover, the yield (0.170 g/g) was the highest among engineered E. coli systems."
Effective production of human growth factors in Escherichia coli by fusing with small protein 6HFh8,"Kim, Y. S., et al.",Microb Cell Fact,2021.0,https://doi.org/10.1186/s12934-020-01502-1,"BACKGROUND: Growth factors (GFs) are signaling proteins that affect cellular processes such as growth, proliferation, and differentiation. GFs are used as cosmeceuticals, exerting anti-wrinkle, anti-aging, and whitening effects, and also as pharmaceuticals to treat wounds, growth failure, and oral mucositis. However, in mammalian and bacterial cells, low productivity and expression in inclusion bodies, respectively, of GFs does not satisfy the consumer demand. Here, we aimed to develop a bacterial expression system that produces high yields of soluble GFs that can be purified in their native forms. RESULTS: We present Fh8, an 8-kDa peptide from Fasciola hepatica with an N-terminal hexa-histidine (6HFh8), as a fusion partner for enhanced human GF production in recombinant Escherichia coli. The fusion partner harboring a tobacco etch virus (TEV) protease cleavage site was fused to the N-terminus of 10 human GFs: acidic and basic fibroblast growth factors (aFGF and bFGF, respectively), epidermal growth factor (EGF), human growth hormone (hGH), insulin-like growth factor 1 (IGF-1), vascular endothelial growth factor 165 (VEGF165), keratinocyte growth factor 1 (KGF-1), placental growth factor (PGF), stem cell factor (SCF), and tissue inhibitor of metalloproteinase 1 (TIMP-1). The fusion proteins were expressed in E. coli under the control of T7 promoter at three temperatures (25 degrees C, 30 degrees C, and 37 degrees C). All individual fusion proteins, except for SCF and TIMP-1, were successfully overexpressed in cytoplasmic soluble form at more than one temperature. Further, the original aFGF, IGF-1, EGF, and VEGF165 proteins were cleaved from the fusion partner by TEV protease. Five-liter fed-batch fermentation approaches for the 6HFh8-aFGF (lacking disulfide bonds) and 6HFh8-VEGF165 (a cysteine-rich protein) were devised to obtain the target protein at concentrations of 9.7 g/l and 3.4 g/l, respectively. The two GFs were successfully highly purified (> 99% purity). Furthermore, they exerted similar cell proliferative effects as those of their commercial equivalents. CONCLUSIONS: We demonstrated that 6HFh8-GF fusion proteins could be overexpressed on a g/l scale in the cytoplasm of E. coli, with the GFs subsequently highly purified and maintaining their biological activity. Hence, the small protein 6HFh8 can be used for efficient mass-production of various GFs."
Metabolic engineering of a xylose pathway for biotechnological production of glycolate in Escherichia coli,"Liu, M., et al.",Microb Cell Fact,2018.0,https://doi.org/10.1186/s12934-018-0900-4,"BACKGROUND: Glycolate is a valuable chemical with extensive applications in many different fields. The traditional methods to synthesize glycolate are quite expensive and toxic. So, the biotechnological production of glycolate from sustainable feedstocks is of interest for its potential economic and environmental advantages. D-Xylose is the second most abundant sugar in nature and accounts for 18-30% of sugar in lignocellulose. New routes for the conversion of xylose to glycolate were explored. RESULTS: Overexpression of aceA and ghrA and deletion of aceB in Escherichia coli were examined for glycolate production from xylose, but the conversion was initially ineffective. Then, a new route for glycolate production was established in E. coli by introducing NAD(+)-dependent xylose dehydrogenase (xdh) and xylonolactonase (xylC) from Caulobacter crescentus. The constructed engineered strain Q2562 produced 28.82 +/- 0.56 g/L glycolate from xylose with 0.60 +/- 0.01 g/L/h productivity and 0.38 +/- 0.07 g/g xylose yield. However, 27.18 +/- 2.13 g/L acetate was accumulated after fermentation. Deletions of iclR and ackA were used to overcome the acetate excretion. An ackA knockout resulted in about 66% decrease in acetate formation. The final engineered strain Q2742 produced 43.60 +/- 1.22 g/L glycolate, with 0.91 +/- 0.02 g/L/h productivity and 0.46 +/- 0.03 g/g xylose yield. CONCLUSIONS: A new route for glycolate production from xylose was established, and an engineered strain Q2742 was constructed from this new explored pathway. The engineering strain showed the highest reported productivity of glycolate to date. This research opened up a new prospect for bio-refinery of xylose and an alternative choice for industrial production of glycolate."
An integrated computational and experimental study for overproducing fatty acids in Escherichia coli,"Ranganathan, S., et al.",Metab Eng,2012.0,https://doi.org/10.1016/j.ymben.2012.08.008,"Increasing demands for petroleum have stimulated sustainable ways to produce chemicals and biofuels. Specifically, fatty acids of varying chain lengths (C(6)-C(1)(6)) naturally synthesized in many organisms are promising starting points for the catalytic production of industrial chemicals and diesel-like biofuels. However, bio-production of fatty acids from plants and other microbial production hosts relies heavily on manipulating tightly regulated fatty acid biosynthetic pathways. In addition, precursors for fatty acids are used along other central metabolic pathways for the production of amino acids and biomass, which further complicates the engineering of microbial hosts for higher yields. Here, we demonstrate an iterative metabolic engineering effort that integrates computationally driven predictions and metabolic flux analysis techniques to meet this challenge. The OptForce procedure was used for suggesting and prioritizing genetic manipulations that overproduce fatty acids of different chain lengths from C(6) to C(1)(6) starting with wild-type E. coli. We identified some common but mostly chain-specific genetic interventions alluding to the possibility of fine-tuning overproduction for specific fatty acid chain lengths. In accordance with the OptForce prioritization of interventions, fabZ and acyl-ACP thioesterase were upregulated and fadD was deleted to arrive at a strain that produces 1.70 g/L and 0.14 g fatty acid/g glucose ( approximately 39% maximum theoretical yield) of C(1)(4)(-)(1)(6) fatty acids in minimal M9 medium. These results highlight the benefit of using computational strain design and flux analysis tools in the design of recombinant strains of E. coli to produce free fatty acids."
Quantitative analysis and engineering of fatty acid biosynthesis in E. coli,"Liu, T., et al.",Metab Eng,2010.0,https://doi.org/10.1016/j.ymben.2010.02.003,"Fatty acids are central hydrocarbon intermediates in the biosynthesis of diesel from renewable sources. We have engineered an Escherichia coli cell line that produces 4.5 g/L/day total fatty acid in a fed-batch fermentation. However, further enhancement of fatty acid biosynthesis in this cell line proved unpredictable. To develop a more reliable engineering strategy, a cell-free system was developed that enabled direct, quantitative investigation of fatty acid biosynthesis and its regulation in E. coli. Using this system, the strong dependence of fatty acid synthesis on malonyl-CoA availability and several important phenomena in fatty acid synthesis were verified. Results from this cell-free system were confirmed via the generation and analysis of metabolically engineered strains of E. coli. Our quantitative findings highlight the enormous catalytic potential of the E. coli fatty acid biosynthetic pathway, and target specific steps for protein and metabolic engineering to enhance the catalytic conversion of glucose into biodiesel."
Model-driven intracellular redox status modulation for increasing isobutanol production in Escherichia coli,"Liu, J., et al.",Biotechnol Biofuels,2015.0,https://doi.org/10.1186/s13068-015-0291-2,"BACKGROUND: Few strains have been found to produce isobutanol naturally. For building a high performance isobutanol-producing strain, rebalancing redox status of the cell was very crucial through systematic investigation of redox cofactors metabolism. Then, the metabolic model provided a powerful tool for the rational modulation of the redox status. RESULTS: Firstly, a starting isobutanol-producing E. coli strain LA02 was engineered with only 2.7 g/L isobutanol produced. Then, the genome-scale metabolic modeling was specially carried out for the redox cofactor metabolism of the strain LA02 by combining flux balance analysis and minimization of metabolic adjustment, and the GAPD reaction catalyzed by the glyceraldehyde-3-phosphate dehydrogenase was predicted as the key target for redox status improvement. Under guidance of the metabolic model prediction, a gapN-encoding NADP(+) dependent glyceraldehyde-3-phosphate dehydrogenase pathway was constructed and then fine-tuned using five constitutive promoters. The best strain LA09 was obtained with the strongest promoter BBa_J23100. The NADPH/NADP + ratios of strain LA09 reached 0.67 at exponential phase and 0.64 at stationary phase. The redox modulations resulted in the decrease production of ethanol and lactate by 17.5 and 51.7% to 1.32 and 6.08 g/L, respectively. Therefore, the isobutanol titer was increased by 221% to 8.68 g/L. CONCLUSIONS: This research has achieved rational redox status improvement of isobutanol-producing strain under guidance of the prediction and modeling of the genome-scale metabolic model of isobutanol-producing E. coli strain with the aid of synthetic promoters. Therefore, the production of isobutanol was dramatically increased by 2.21-fold from 2.7 to 8.68 g/L. Moreover, the developed model-driven method special for redox cofactor metabolism was of very helpful to the redox status modulation of other bio-products."
Efficient production of trans-4-hydroxy-l-proline from glucose using a new trans-proline 4-hydroxylase in Escherichia coli,"Wang, X. C., et al.",J Biosci Bioeng,2018.0,https://doi.org/10.1016/j.jbiosc.2018.04.012,"trans-4-Hydroxy-l-proline (trans-4Hyp) is widely used as a valuable building block for the organic synthesis of many pharmaceuticals such as carbapenem antibiotics. The major limitation for industrial bioproduction of trans-4Hyp is the low titer and productivity by using the existing trans-proline 4-hydroxylases (trans-P4Hs). Herein, three new trans-P4Hs from Alteromonas mediterranea (AlP4H), Micromonospora sp. CNB394 (MiP4H) and Sorangium cellulosum (ScP4H) were discovered through genome mining and enzymatic determination. These trans-P4Hs were introduced into an l-proline-producing chassis cell, and the recombinant strain overexpressing AlP4H produced the highest concentration of trans-4Hyp (3.57 g/L) from glucose in a shake flask. In a fed-batch fermentation with a 5 L bioreactor, the best strain SEcH (pTc-B74A-alp4h) accumulated 45.83 g/L of trans-4Hyp within 36 h, with the highest productivity (1.27 g/L/h) in trans-4Hyp fermentation from glucose, to the best of our knowledge. This study provides a promising hydroxylase candidate for efficient industrial production of trans-4Hyp."
A novel strategy for succinate and polyhydroxybutyrate co-production in Escherichia coli,"Kang, Z., et al.",Bioresour Technol,2010.0,https://doi.org/10.1016/j.biortech.2010.04.084,"Based on the metabolic analysis, a succinate and polyhydroxybutyrate (PHB) co-production pathway was designed and engineered in Escherichia coli MG1655. Batch cultivation of the engineered E. coli revealed that it was able to accumulate both extracellular succinate and intracellular PHB simultaneously. PHB accumulation not only improved succinate production, but also reduced pyruvate and acetate secretion. With a consumption of 45 g l(-1) glucose, E. coli QZ1112 was shown to accumulate 24.6 g l(-1) succinate and 4.95 g l(-1) PHB in batch fermentation. The PHB content reached 41.3 wt.% of its cell dry weight, which suggested that the cell debris can be used as value added by-product."
An engineered Escherichia coli having a high intracellular level of ATP and enhanced recombinant protein production,"Kim, H. J., et al.",Appl Microbiol Biotechnol,2012.0,https://doi.org/10.1007/s00253-011-3779-0,"Artificial amplification of gluconeogenic phosphoenolpyruvate carboxykinase (PCK) under glycolytic conditions enables Escherichia coli to maintain a greater intracellular ATP concentration during its growth phase. To demonstrate the biotechnological benefit of E. coli harboring a high intracellular ATP concentration, we compared the recombinant protein synthesis of a soluble protein (enhanced green fluorescence protein, GFP) with that of a secretory protein (alkaline protease, AP), under control of the T7 promoter in E. coli BL21(DE3) overexpressing PCK. According to the batch fermentations, the strain overexpressing PCK produced more GFP and AP with a lower increase in biomass than the control strain. In a chemostat culture (D = 0.7 h(-1)), the GFP production in the PCK overexpressing strain was 99.0 +/- 4.31 mg/g cell, with a biomass of 0.22 g/L, while that of the control strain was 53.5 +/- 3.07 mg/g cell, with a biomass of 0.35 g/L. These results indicate that the PCK overexpressing E. coli strain harboring high intracellular levels of ATP can be useful as a protein-synthesizing host. The potential uses of the strain and associated rationale are discussed."
Genome engineering Escherichia coli for L-DOPA overproduction from glucose,"Wei, T., et al.",Sci Rep,2016.0,https://doi.org/10.1038/srep30080,"Genome engineering has become a powerful tool for creating useful strains in research and industry. In this study, we applied singleplex and multiplex genome engineering approaches to construct an E. coli strain for the production of L-DOPA from glucose. We first used the singleplex genome engineering approach to create an L-DOPA-producing strain, E. coli DOPA-1, by deleting transcriptional regulators (tyrosine repressor tyrR and carbon storage regulator A csrA), altering glucose transport from the phosphotransferase system (PTS) to ATP-dependent uptake and the phosphorylation system overexpressing galactose permease gene (galP) and glucokinase gene (glk), knocking out glucose-6-phosphate dehydrogenase gene (zwf) and prephenate dehydratase and its leader peptide genes (pheLA) and integrating the fusion protein chimera of the downstream pathway of chorismate. Then, multiplex automated genome engineering (MAGE) based on 23 targets was used to further improve L-DOPA production. The resulting strain, E. coli DOPA-30N, produced 8.67 g/L of L-DOPA in 60 h in a 5 L fed-batch fermentation. This titer is the highest achieved in metabolically engineered E. coli having PHAH activity from glucose."
Extending shikimate pathway for the production of muconic acid and its precursor salicylic acid in Escherichia coli,"Y Lin, Y Yan",Metabolic engineering,2014.0,https://doi.org/10.1016/j.ymben.2014.02.009,"cis,cis-Muconic acid (MA) and salicylic acid (SA) are naturally-occurring organic acids having great commercial value. MA is a potential platform chemical for the manufacture of several widely-used consumer plastics; while SA is mainly used for producing pharmaceuticals (for example, aspirin and lamivudine) and skincare and haircare products. At present, MA and SA are commercially produced by organic chemical synthesis using petro-derived aromatic chemicals, such as benzene, as starting materials, which is not environmentally friendly. Here, we report a novel approach for efficient microbial production of MA via extending shikimate pathway by introducing the hybrid of an SA biosynthetic pathway with its partial degradation pathway. First, we engineered a well-developed phenylalanine producing Escherichia coli strain into an SA overproducer by introducing isochorismate synthase and isochorismate pyruvate lyase. The engineered strain is able to produce 1.2 g/L of SA from simple carbon sources, which is the highest titer reported so far. Further, the partial SA degradation pathway involving salicylate 1-monoxygenase and catechol 1,2-dioxygenase is established to achieve the conversion of SA to MA. Finally, a de novo MA biosynthetic pathway is assembled by integrating the established SA biosynthesis and degradation modules. Modular optimization enables the production of up to 1.5 g/L MA within 48 h in shake flasks. This study not only establishes an efficient microbial platform for the production of SA and MA, but also demonstrates a generalizable pathway design strategy for the de novo biosynthesis of valuable degradation metabolites."
Development of a nonauxotrophic L-homoserine hyperproducer in Escherichia coli by systems metabolic engineering,"Cai, M., et al.",Metab Eng,2022.0,https://doi.org/10.1016/j.ymben.2022.08.003,"L-Homoserine is a valuable amino acid as a platform chemical in the synthesis of various important compounds. Development of microbial strains for high-level L-homoserine production is an attractive research direction in recent years. Herein, we converted a wild-type Escherichia coli to a non-auxotrophic and plasmid-free hyperproducer of L-homoserine using systematically metabolic engineer strategies. First, an initial strain was obtained through regulating L-homoserine degradation pathway and enhancing synthetic flow. To facilitate L-homoserine production, flux-control genes were tuned by optimizing the copy numbers in chromosome, and transport system was modified to promote L-homoserine efflux. Subsequently, a strategy of cofactors synergistic utilization was proposed and successfully applied to achieve L-homoserine hyperproduction. The final engineered strain could efficiently produce 85.29 g/L L-homoserine, which was the highest production level ever reported from a plasmid-free, antibiotic-free, inducer-free and nonauxotrophic strain. These strategies used here can be considered for developing microbial cell factory of other L-aspartate derivatives."
